time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.5250,0.1345,-0.0023,0.2993,0.0689,-0.0378,-0.2714,
0.5267,0.1404,0.0090,0.2959,0.0671,-0.0311,-0.2736,
0.5283,0.1454,0.0193,0.2928,0.0650,-0.0241,-0.2705,
0.5300,0.1495,0.0288,0.2900,0.0628,-0.0170,-0.2620,
0.5317,0.1527,0.0377,0.2876,0.0605,-0.0096,-0.2484,
0.5333,0.1552,0.0463,0.2857,0.0581,-0.0020,-0.2299,
0.5350,0.1569,0.0549,0.2844,0.0557,0.0058,-0.2068,
0.5367,0.1579,0.0636,0.2836,0.0532,0.0138,-0.1796,
0.5383,0.1583,0.0728,0.2835,0.0509,0.0220,-0.1488,
0.5400,0.1580,0.0824,0.2840,0.0486,0.0303,-0.1150,
0.5417,0.1572,0.0928,0.2851,0.0465,0.0388,-0.0788,
0.5433,0.1558,0.1038,0.2868,0.0445,0.0474,-0.0409,
0.5450,0.1539,0.1155,0.2890,0.0427,0.0562,-0.0020,
0.5467,0.1514,0.1279,0.2918,0.0411,0.0649,0.0373,
0.5483,0.1485,0.1408,0.2950,0.0397,0.0738,0.0762,
0.5500,0.1450,0.1540,0.2985,0.0385,0.0826,0.1143,
0.5517,0.1409,0.1673,0.3023,0.0376,0.0914,0.1508,
0.5533,0.1363,0.1805,0.3063,0.0368,0.1001,0.1853,
0.5550,0.1311,0.1932,0.3104,0.0363,0.1087,0.2174,
0.5567,0.1253,0.2052,0.3144,0.0360,0.1172,0.2467,
0.5583,0.1189,0.2162,0.3182,0.0358,0.1255,0.2730,
0.5600,0.1119,0.2260,0.3218,0.0357,0.1335,0.2961,
0.5617,0.1042,0.2341,0.3250,0.0357,0.1412,0.3158,
0.5633,0.0959,0.2406,0.3277,0.0358,0.1486,0.3321,
0.5650,0.0871,0.2451,0.3300,0.0359,0.1557,0.3451,
0.5667,0.0778,0.2475,0.3316,0.0359,0.1623,0.3547,
0.5683,0.0680,0.2478,0.3326,0.0359,0.1684,0.3611,
0.5700,0.0579,0.2459,0.3330,0.0359,0.1741,0.3643,
0.5717,0.0475,0.2419,0.3326,0.0356,0.1792,0.3645,
0.5733,0.0370,0.2359,0.3317,0.0353,0.1838,0.3619,
0.5750,0.0265,0.2279,0.3301,0.0348,0.1878,0.3566,
0.5767,0.0161,0.2182,0.3279,0.0341,0.1912,0.3488,
0.5783,0.0060,0.2071,0.3253,0.0333,0.1940,0.3385,
0.5800,-0.0037,0.1947,0.3222,0.0323,0.1963,0.3258,
0.5817,-0.0128,0.1813,0.3188,0.0312,0.1980,0.3110,
0.5833,-0.0213,0.1674,0.3152,0.0300,0.1991,0.2941,
0.5850,-0.0289,0.1532,0.3114,0.0288,0.1997,0.2752,
0.5867,-0.0356,0.1391,0.3076,0.0275,0.1997,0.2543,
0.5883,-0.0412,0.1253,0.3039,0.0263,0.1992,0.2317,
0.5900,-0.0458,0.1124,0.3003,0.0251,0.1981,0.2074,
